compound-id	smiles
127-1i0f	[CH3:121][c:120]1[cH:122][n:114]([c:115](=[O:116])[nH:117][c:118]1=[O:119])[C@H:113]2[C@@H:111]([C@@H:109]([C@H:107]([O:108]2)[CH2:106][O:105][P:102](=[O:103])([OH:104])[OH:89])[OH:110])[O:112][CH2:123][CH2:124][O:125][NH2:126]
129-1if2	C(CP(=O)(O)O)N(C=O)O
130-1gj5	[H]\N=C(\c1ccc2c(c1)[nH]c(n2)c3cccc(c3O)c4ccccc4)/N
132-1gj4	[H]\N=C(/c1cc2cc([nH]c2cc1Cl)c3cccc(c3O)c4ccccc4)\N
137-1jcm	c1ccc(c(c1)C(=O)O)NC[C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
156-1fcz	CC1(CCC(c2c1ccc(c2)C(=O)\C=C\c3ccc(cc3)C(=O)O)(C)C)C
184-1fcx	CC1(CCC(c2c1ccc(c2)[C@H](c3ccc4cc(ccc4c3)C(=O)O)O)(C)C)C
185-1suq	Cc1cc(cc(c1Oc2c(c(nc(n2)Nc3ccc(cc3)C#N)CO)Br)C)C#N
1in-2bpv	C[C@H]1CC[C@H]([C@H]1NC(=O)[C@H](Cc2ccccc2)C[C@@H](C[N@@]3CCN(C[C@H]3C(=O)NC(C)(C)C)C(=O)C=Cc4cccnc4)O)O
1nb-1bru	C=CC[C@@H](C=O)[C@H]1CCC[C@@H]1O
1pc-2pcp	c1ccc(cc1)C2(CCCCC2)N3CCCCC3
1pm-1dd7	[CH3:56][O:55][C:53](=[O:54])[N:23]1[CH2:20][CH2:17][N:16]([C@H:27]([CH2:24]1)[CH2:28][C:30](=[O:50])[NH:31][CH2:32][c:34]2[cH:40][cH:38][c:37]3[c:36]([cH:35]2)[O:45][CH2:43][O:42]3)[c:14]4[cH:13][cH:12][n:11][c:10]([n:15]4)[n+:1]5[cH:2][cH:4][nH:5][cH:7]5
1pu-1gih	c1ccnc(c1)NC(=O)Nc2cccc3c2[C@H]4CCCN4C3=O
207-1h0w	c1c2c(c(nc1N)OC[C@H]3CCC=CC3)nc[nH]2
213-1q6p	c1ccc(cc1)[C@@](Cc2ccc(cc2)c3cccc(c3)P(=O)(O)O)(Cc4ccc(cc4)C(F)(F)P(=O)(O)O)n5c6ccccc6nn5
214-1q6s	Cc1ccc2cc(cc(c2n1)P(=O)(O)O)c3ccc(cc3)C[C@@](Cc4ccc(cc4)C(F)(F)P(=O)(O)O)(c5ccccc5)n6c7ccccc7nn6
216-1hwr	C=CCN1[C@@H]([C@@H]([C@H]([C@H](N(C1=O)CC=C)Cc2ccccc2)O)O)Cc3ccccc3
234-1q1m	COC(=O)c1c(cccc1OC\C=C\c2ccc(c(c2)c3cc(no3)C(=O)O)F)O
292-1vyw	c1ccc2cc(ccc2c1)CC(=O)Nc3cc([nH]n3)C4CC4
2a6-1h1q	c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3
2bl-1btu	CC[C@@H](C=O)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)C
2cp-1ef9	[CH3:83][C@H:75]([CH2:73][S:72][CH2:71][CH2:70][NH:68][C:66](=[O:67])[CH2:64][CH2:62][NH:61][C:60](=[O:93])[C@@H:56]([C:47]([CH3:48])([CH3:52])[CH2:44][O:43][P@:39](=[O:40])([OH:41])[O:38][P@:34](=[O:35])([OH:36])[O:33][CH2:32][C@@H:29]1[C@H:20]([C@H:16]([C@@H:15]([O:30]1)[n:14]2[cH:1][n:3][c:4]3[c:13]2[n:12][cH:10][n:9][c:5]3[NH2:6])[OH:18])[O:22][P:23](=[O:24])([OH:25])[OH:27])[OH:58])[CH:76]([OH:78])[OH:80]
2np-1f06	C=C(CCC[C@@H](C(=O)O)N)C(=O)O
akg-1aib	[CH2:4]([CH2:6][C:9](=[O:10])[OH:11])[C:3](=[O:14])[C:1](=[O:2])[OH:15]
2pg-1o5x	C([C@H](C(=O)O)OP(=O)(O)O)O
2pi-1aj2	CCC[C@@H](C(=O)O)N
2pp-1dit	CCCC(CCC)CO
335-1q6j	c1ccc(cc1)C(Cc2ccc(cc2)C(F)(F)P(=O)(O)O)(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)n4c5ccccc5nn4
345-456c	c1cc(ccc1Oc2ccc(cc2)Cl)S(=O)(=O)C3(CCOCC3)CC(=O)NO
383-1jii	c1cc(ccc1C[C@@H](C(=O)N[C@@H]([C@H]2[C@@H]([C@@]3(CO[C@@H]([C@@H]3O)[N@@]2O)O)O)C(=O)O)N)O
394-1exa	CC1(CCC(c2c1ccc(c2)[C@H](C(=O)Nc3ccc(cc3F)C(=O)O)O)(C)C)C
395-1exx	[CH3:191][C:191]1([CH2:191][CH2:191][C:191]([c:191]2[c:190]1[cH:190][cH:190][c:190]([cH:190]2)[C@@H:191]([C:192](=[O:192])[NH:192][c:190]3[cH:190][cH:189][c:189]([cH:189][c:189]3[F:192])[C:190](=[O:192])[OH:192])[OH:192])([CH3:191])[CH3:191])[CH3:191]
3an-1hiy	[cH:35]1[nH:33][c:24]2[c:25]([n:26][cH:27][n:29][c:23]2[n+:22]1[C@H:19]3[C@@H:17]([C@@H:15]([C@H:13]([O:21]3)[CH2:10][O:9][P@:8](=[O:42])([OH:43])[O:7][P:1](=[O:2])([OH:3])[OH:5])[NH2:39])[OH:37])[NH2:30]
3fp-1v1k	CN(C)C[C@H](COc1ccc(cc1)Nc2cc(ncn2)Nc3cc(ccc3F)C(F)(F)F)O
3in-2bpy	C[C@H]1CC[C@H]([C@H]1NC(=O)[C@H](Cc2ccccc2)C[C@@H](C[N@@]3CCN(C[C@H]3C(=O)NC(C)(C)C)C(=O)c4cnc(c(n4)Cl)N5CCN(CC5)C)O)O
3md-3pax	C[C@@H]([C@@H](C(=O)O)N)C(=O)O
3pg-1iih	C([C@H](C(=O)O)O)OP(=O)(O)O
3pg-1m7o	C([C@H](C(=O)O)O)OP(=O)(O)O
418-1ph0	COC(=O)c1c(cccc1OCCCCNC(=O)[C@H](Cc2ccc(cc2)N(c3ccccc3C(=O)O)C(=O)C(=O)O)NC(=O)O)O
429-1qxk	CC(=O)N[C@@H](Cc1ccc(c(c1)O)OCC(=O)O)C(=O)NCCCCOc2cccc(c2C(=O)OC)O
444-1pqc	c1ccc(cc1)S(=O)(=O)[N@@](CC(F)(F)F)c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)O
444-1uhl	c1ccc(cc1)S(=O)(=O)[N@@](CC(F)(F)F)c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)O
444-1upv	c1ccc(cc1)S(=O)(=O)N(CC(F)(F)F)c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)O
444-1upw	c1ccc(cc1)S(=O)(=O)N(CC(F)(F)F)c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)O
450-1dmp	c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)N)Cc4cccc(c4)N)Cc5ccccc5)O)O
471-1kkq	CCC(=O)NC[C@H](Cc1ccc(cc1)OCCc2c(oc(n2)c3ccccc3)C)N\C(=C/C(=O)c4ccc(cc4)C(F)(F)F)\C
49a-1f8e	CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CN)O)O)C(=O)O)N
4am-1f8c	CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N
4ca-1l08	CC(C)(CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCc4ccc(cc4)O)O
4pb-1tsi	C(CC(=O)NO)CP(=O)(O)O
4pp-1xka	[H]\N=C(\c1cccc(c1)c2cccc(c2)[C@H](CCCNc3ccncc3)C(=O)O)/N
4sp-1h1s	c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)S(=O)(=O)N
4st-1yvj	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4c(c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)CCCC4)NC)OC
515-1nny	CC(=O)N[C@@H](Cc1ccc(c2c1cccc2)N(c3ccccc3C(=O)O)C(=O)C(=O)O)C(=O)NCCCCCOc4cc5ccccc5cc4C(=O)O
564-1fcy	CC1(CCC(c2c1ccc(c2)C(=O)c3ccc4cc(ccc4c3)C(=O)O)(C)C)C
570-1fm9	Cc1c(nc(o1)c2ccccc2)CCOc3ccc(cc3)C[C@@H](C(=O)O)Nc4ccccc4C(=O)c5ccccc5
577-1pme	CS(=O)c1ccc(cc1)c2[nH]c(c(n2)c3ccc(cc3)F)c4ccncc4
588-1ony	CCCCCNC(=O)[C@H](Cc1ccc(c(c1)\C=C\C(=O)N)N(c2ccccc2C(=O)O)C(=O)C(=O)O)NS(=O)(=O)C
5bn-1p2a	c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)NCCN
5ea-1s9i	[cH:475]1[cH:475][c:476]([c:475]([cH:475][c:475]1[I:475])[F:475])[NH:476][c:476]2[c:476]([cH:476][cH:476][c:476]([c:476]2[F:476])[F:476])[c:477]3[n:477][n:477][c:477]([o:477]3)[NH:477][CH2:477][CH2:477][N:477]4[CH:477]=[CH:478][O:478][CH:478]=[CH:478]4
5pa-1d7r	Cc1c(c(c(cn1)COP(=O)(O)O)CNC2(C=C2)C(O)O)O
600-1q6t	CC(C)C[C@@H](c1ccc2cc(cc(c2n1)P(=O)(O)O)c3ccc(cc3)C[C@@](Cc4ccc(cc4)C(F)(F)P(=O)(O)O)(c5ccccc5)n6c7ccccc7nn6)OC
612-1c1c	CCOCn1c(c(c(=O)[nH]c1=O)C(C)C)SC2CCCCC2
616-1hv7	[CH3:54][CH:53]([CH3:58])[C@H:4]([CH:2]=[O:1])[C@H:6]1[C@@H:7]([CH2:17][CH2:20][N:22]1[C:23](=[O:49])\[CH:24]=[CH:26]\[CH2:29][N:30]2[CH2:31][CH2:33][CH2:36][CH2:39][CH2:42]2)[NH:8][S:10](=[O:15])(=[O:16])[CH3:11]
638-1qbr	c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O
654-1i2z	Cc1ccc(cc1)Cn2cc(nc2)c3cccs3
655-1o3p	[H]\N=C(\c1ccc2c(c1)nc([nH]2)c3cccc(c3O)OC4CCCC4)/N
65b-1sv5	Cc1cc(cc(c1Oc2c(c(nc(n2)Nc3ccc(cc3)C#N)N)Br)C)C#N
696-1o2g	[H]\N=C(/c1ccc2c(c1)cc([nH]2)c3cccc(c3O)c4ccccc4)\N
6ab-1c0i	c1ccc(c(c1)C(=O)O)N
6cp-1h1r	c1cc(cc(c1)Cl)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3
6in-1db5	[CH3:12][c:11]1[c:16]([c:4]2[cH:2][c:1]([cH:8][cH:6][c:5]2[n:10]1[CH2:25][c:27]3[cH:28][cH:30][cH:31][cH:33][cH:34]3)[O:39][CH2:40][CH2:41][CH2:42][C:44](=[O:45])[OH:46])[CH2:17][C:19](=[O:20])[NH2:21]
6pg-1dqr	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O
700-1exv	c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)O)NC(=O)c3cc4cc(ccc4[nH]3)Cl
700-1l5q	c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)O)NC(=O)c3cc4cc(ccc4[nH]3)Cl
700-1l5r	c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)O)NC(=O)c3cc4cc(ccc4[nH]3)Cl
700-1l5s	c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)O)NC(=O)c3cc4cc(ccc4[nH]3)Cl
700-1l7x	c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)O)NC(=O)c3cc4cc(ccc4[nH]3)Cl
761-1c84	c1ccc2cc(c(cc2c1)C(=O)O)NC(=O)C(=O)O
794-1no6	c1ccc2c(c1)cccc2N(c3ccccc3C(=O)O)C(=O)C(=O)O
815-1f0r	c1cc2c(cc(s2)S(=O)(=O)N[C@H]3CCN(C3=O)Cc4ccc5ccnc(c5c4)N)nc1
824-1x8b	c1ccc(cc1)c2cc3c(c4cc(ccc4[nH]3)O)c5c2C(=O)NC5=O
846-1qbu	c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)CC5=CC5)Cc6ccccc6)O)O
878-1ECV	c1cc(c(cc1I)C(=O)O)NC(=O)C(=O)O
892-1t49	CCc1c(c2ccc(cc2o1)S(=O)(=O)Nc3ccc(cc3)S(=O)(=O)N)C(=O)c4cc(c(c(c4)Br)O)Br
8mo-1z11	COc1c2c(ccc(=O)o2)cc3c1occ3
901-1nz7	CCc1cc(ccc1N(c2ccccc2C(=O)O)C(=O)C(=O)O)C[C@@H](C(=O)NCCCCC(=O)N[C@@H](CCSC)C(=O)O)NC(=O)C
941-1pyn	CC(C)(C)OC(=O)N[C@@H](Cc1ccc(cc1)OC(C(=O)O)C(=O)O)C(=O)NCCCCOc2cccc(c2C(=O)OC)O
968-1onz	c1ccc(c(c1)C(=O)O)N(c2cccc3c2cc(cc3)O)C(=O)C(=O)O
974-1qb1	[CH3:36][n+:35]1[cH:40][cH:41][nH:42][c:34]1[c:31]2[cH:29][cH:28][cH:27][c:26]([cH:32]2)[O:25][c:23]3[c:22]([c:21]([c:20]([c:19]([n:24]3)[O:1][c:2]4[cH:3][c:5]([cH:12][cH:14][c:16]4[OH:17])[C:6](=[NH:10])[NH2:7])[F:70])[N:49]5[CH2:50][CH2:51][CH2:52][C@H:55]([CH2:63]5)[C:57](=[O:59])[OH:61])[F:48]
989-1nl9	CCCCCNC(=O)[C@H](Cc1ccc(c2c1cccc2)N(c3ccccc3C(=O)O)C(=O)C(=O)O)NC(=O)C
9am-1f8d	CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CN)O)O)C(=O)O)O
a23-1d4r	[cH:632]1[n:631][c:629]([c:628]2[c:634]([n:633]1)[n:625]([cH:626][n:627]2)[C@H:624]3[C@H:622]4[C@@H:620]([C@H:618]([O:619]3)[CH2:617][O:616][P:613](=[O:598])([OH:614])[OH:615])[O:621][P@@:610](=[O:611])([O:623]4)[OH:612])[NH2:630]
a3m-1n1m	CC(C)[C@@H](C(=O)N1CCCC1)N
a88-1pro	COc1cc(ccc1O)CN2[C@@H]([C@@H](C[N@](N(C2=O)Cc3ccc(c(c3)OC)O)Cc4ccccc4)O)Cc5ccccc5
aaa-1hni	Cc1ccc(c(c1)N[C@@H](c2c(cccc2Br)Br)C(=O)N)C(=O)C
aag-1dry	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O
aap-1hpz	Cc1ccc(c(c1)N[C@@H](c2c(cccc2Cl)Cl)C(=O)N)C(=O)C
aap-1vru	Cc1ccc(c(c1)N[C@@H](c2c(cccc2Cl)Cl)C(=O)N)C(=O)C
aas-1czm	c1cc(ccc1N)S(=O)(=O)N
aax-1y6b	COc1ccc(cc1Nc2ncc(o2)c3cccc(c3)c4cccnc4)S(=O)(=O)NCC5CC5
aaz-1y6a	CCS(=O)(=O)c1ccc(c(c1)Nc2ncc(o2)c3cccc(c3)c4ccccn4)OC
abz-1s9g	c1cc(ccc1C#N)Nc2nc(nc(n2)N)Cc3c4cc[nH]c4ccc3Cl
ac2-1ki5	c1nc2c(n1COCCO)[nH]c(nc2=O)N
ac2-2ki5	C1=[N+](C2=NC(=NC(=O)C2=N1)N)COCCO
acd-1adl	[CH3:42][CH2:39][CH2:38][CH2:36][CH2:35]\[CH:33]=[CH:31]/[CH2:28]\[CH:26]=[CH:23]/[CH2:20]\[CH:19]=[CH:16]/[CH2:15]\[CH:13]=[CH:10]/[CH2:7][CH2:4][CH2:3][C:1](=[O:2])[OH:59]
acd-1cvu	[CH3:42][CH2:39][CH2:38][CH2:36][CH2:35]\[CH:33]=[CH:31]/[CH2:28]\[CH:26]=[CH:23]/[CH2:20]\[CH:19]=[CH:16]/[CH2:15]\[CH:13]=[CH:10]/[CH2:7][CH2:4][CH2:3][C:1](=[O:2])[OH:59]
acd-1diy	[CH3:42][CH2:39][CH2:38][CH2:36][CH2:35]\[CH:33]=[CH:31]/[CH2:28]\[CH:26]=[CH:23]/[CH2:20]\[CH:19]=[CH:16]/[CH2:15]\[CH:13]=[CH:10]/[CH2:7][CH2:4][CH2:3][C:1](=[O:2])[OH:59]
acd-1gnj	[CH3:42][CH2:39][CH2:38][CH2:36][CH2:35]\[CH:33]=[CH:31]/[CH2:28]\[CH:26]=[CH:23]/[CH2:20]\[CH:19]=[CH:16]/[CH2:15]\[CH:13]=[CH:10]/[CH2:7][CH2:4][CH2:3][C:1](=[O:2])[OH:59]
ace-1a07	CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)C
acr-1agm	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
adb-1s9e	c1cc(c(c(c1)Cl)Oc2nc(nc(n2)Nc3ccc(cc3)C#N)N)Cl
ag7-1cqq	CCOC(=O)CC[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc2ccc(cc2)F)CC(=O)[C@H](C(C)C)NC(=O)c3cc(on3)C
agm-1e6y	C[C@@H](CC[C@@H](C=O)N)NC(=N)N
agp-1hor	C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)N)O
ah1-1ajx	c1ccc(cc1)CN2[C@@H]([C@@H]([C@H]([C@H](N(C2=O)Cc3ccccc3)COc4ccccc4)O)O)COc5ccccc5
ahf-1g35	COC(=O)c1ccc(cc1)CN2[C@@H]([C@@H]([C@H]([C@H]([N@](S2(=O)=O)Cc3ccc(cc3)CO)COc4ccccc4)O)O)COc5ccccc5
ahx-1ses	[cH:32]1[n:33][c:34]([c:29]2[c:30]([n:31]1)[n:25]([cH:26][n:28]2)[C@H:23]3[C@@H:22]([C@@H:21]([C@H:20]([O:24]3)[CH2:19][O:18][P@@:14](=[O:15])([OH:16])[O:13][NH:11][C:10](=[O:45])[C@H:3]([CH2:4][OH:6])[NH2:1])[OH:41])[OH:39])[NH2:35]
ai1-1fd7	c1ccc(cc1)CNC(=O)c2cccc(c2)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O
aih-1xp1	C[C@H]1CN(C[C@@H]1C)CCOc2ccc(cc2)[C@H]3[C@H](Sc4cc(ccc4O3)O)c5ccc(cc5)O
aij-1xp9	C[C@@H](COc1ccc(cc1)[C@H]2[C@H](Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5
aip-1ber	CC(C)[C@@H](C(=O)N[C@@H](CCCNC(=N)N)CO)N
ait-1xpc	C[C@H](COc1ccc(cc1)[C@H]2[C@H](Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5
aiu-1xp6	C[C@@H]1CN(C[C@H]1C)CCOc2ccc(cc2)[C@H]3[C@H](Sc4cc(ccc4O3)O)c5ccc(cc5)O
al5-1bn1	Cc1ccc(cc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N
al9-1bn4	COc1ccc(cc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N
alc-1b3h	C1CCC(CC1)C[C@@H](C=O)N
ale-3pah	C=NC[C@H](c1ccc(c(c1)O)O)O
alh-1ung	CCCCc1c2c([nH]c1c3ccc(cc3)O)nccn2
alq-1m4h	CC(C)C[C@@H]([C@H](C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)N
alz-1afe	c1ccc(cc1)COC(=O)n2cccc2C(=O)N=NCCCCN
amb-1qm4	CO\C=C/[C@@H](C(=O)O)N
ami-1ll4	CC(=O)N[C@@H]1[C@@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@@H]2O)NC(=O)C)O[C@@H]3[C@H]([C@H]4[C@@H]([C@H]3O)N=C(O4)N(C)C)CO)CO)CO)O)O
amr-1f5l	[H]\N=C(\N)/NC(=O)c1c(nc(c(n1)Cl)N)N
anp-1qpc	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(N)O)O)O)N
anp-2src	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
ans-1fpc	[H]\N=C(\N)/NCCC[C@@H](C(=O)N1CCC(CC1)CC)NS(=O)(=O)c2cccc3c2cccc3N(C)C
ap1-1bl4	CC[C@@H](c1cc(c(c(c1)OC)OC)OC)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(c(c3)OC)OC)c4cccc(c4)OCC(=O)O
ap2-1av5	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(CP(=O)(O)O)O)O)O)N
ap3-1bul	CC1([C@@H](N[C@H](S1)[C@H](C=O)C(C)(C)O)C(=O)O)C
apc-1eqo	c1[nH]c2c(ncnc2[n+]1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(C[P@](=O)(O)OP(=O)(O)O)O)O)O)N
apm-1lgn	c1[nH]c2c(ncnc2[n+]1[C@H]3C[C@@H]([C@H](O3)COP(=O)(O)O)O)N
app-1efr	CC(=O)N1CCCC[C@H]1C=O
apr-1g9q	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N
apu-1f0l	c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)(O)O[C@@H]3[C@H](O[C@H]([C@@H]3O)n4cnc5c4ncnc5N)CO)OP(=O)(O)O)O
aq4-1m17	COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C
ar1-1b0s	Cn1cc(nc1C(=O)Nc2c[n+](c([nH]2)C(=O)Nc3cn(c(n3)C(=O)NCCN(C)C)C)C)NC=O
arh-1h69	CC1=CN1C2=CC(=O)c3c(c(c(n3C)c4ccccc4)CO)C2=O
arn-2f58	C(CC=N)CC=O
asb-1qq6	C([C@@H](C=O)N)C(=O)OCC(=O)O
asc-1f9g	C([C@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
aso-1xie	C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
atc-1ork	CN(C)CC(=O)Nc1ccc2c(c1O)C(=O)[C@@H]3[C@@H](C2)C[C@H]4[C@@H](C(=O)[C@H](C(=O)[C@]4(C3=O)O)C(=O)N)N(C)C
atm-1e98	Cc1cn(c(=O)nc1O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)N[N+]#N
atm-1e99	Cc1cn(c(=O)nc1O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)N[N+]#N
atm-1e9b	Cc1cn(c(=O)nc1O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)N[N+]#N
aty-1dzt	Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@@H]([C@H](O2)CO[P@@](=O)(O)OP(=O)(O)O)OC(=O)C
aur-1cow	[CH3:1][CH2:5][C@@H:8]1[C@:9]2([C@H:14]([C@@:25]([O:68]1)([C@H:30]([C@@H:34]([O:36]2)\[CH:37]=[CH:38]\[CH:39]=[CH:40]\[CH:42]=[CH:43]\[c:44]3[c:45]([c:50]([cH:51][c:52](=[O:54])[o:53]3)[O:56][CH3:57])[CH3:46])[OH:31])[CH3:26])[O:16][C:17](=[O:18])[CH3:20])[CH3:10]
axp-1dil	CC(=O)N[C@@H]1[C@H](C[C@@H](O[C@H]1[C@@H]([C@@H](CO)O)O)P(=O)(O)O)O
axp-1inw	CC(=O)N[C@@H]1[C@H](C[C@@H](O[C@H]1[C@@H]([C@@H](CO)O)O)P(=O)(O)O)O
az2-1i7g	CCO[C@@H](Cc1ccc(cc1)OCCc2ccc(cc2)OS(=O)(=O)C)C(=O)O
az2-1i7i	CCO[C@@H](Cc1ccc(cc1)OCCc2ccc(cc2)OS(=O)(=O)C)C(=O)O
azl-1ae8	CCOC(=O)N[C@H](Cc1ccccc1)C(=O)n2cccc2C(=O)NNCCCCN
azm-1azm	CC(=O)Nc1nnc(s1)S(=O)(=O)N
azm-1jd0	CC(=O)Nc1nnc(s1)S(=O)(=O)N
b3p-1d6f	[CH2:1]([CH2:3][NH:4][C:6]([CH2:7][OH:9])([CH2:12][OH:15])[CH2:17][OH:18])[CH2:23][NH:24][C:25]([CH2:26][OH:28])([CH2:31][OH:32])[CH2:36][OH:37]
